,Genre,Artist,Title,Released
106,Alt Rock,Twenty One Pilots,Vessel,2014
251,Bluegrass,Billy Strings,Home,2019
252,Bluegrass,Billy Strings,Me / And / Dad,2022
28,Bluegrass,Trampled By Turtles,Duluth,0
29,Bluegrass,Trampled By Turtles,Palomino,2010
32,Bluegrass,Trampled By Turtles,Life Is Good On The Open Road,2018
30,Bluegrass,Trampled By Turtles,Songs From A Ghost Town,2020
31,Bluegrass,Trampled By Turtles,Alpenglow,2022
229,Compilation,Various,Django Unchained: Original Motion Picture Soundtrack,2012
232,Compilation,Various,Woodstock (Back To The Garden) (50th Anniversary Collection),2019
225,Country,Danny Davis & The Nashville Brass,Live-In Person,1972
103,Country,Lukas Nelson & Promise Of The Real,A Few Stars Apart,2021
60,Country,Orville Peck,Bronco,2022
134,Country,Sturgill Simpson,Metamodern Sounds In Country Music,2015
268,Electronic,Barclay Crenshaw,Barclay Crenshaw,2017
324,Electronic,Boards Of Canada,Geogaddi,2013
202,Electronic,Bonobo,Migration,2017
298,Electronic,DJ Shadow,Endtroducing.....,2021
143,Electronic,Disclosure (3),Energy,2020
331,Electronic,FKA Twigs,LP1,2014
330,Electronic,FKA Twigs,Magdalene,2019
329,Electronic,FKA twigs,Magdalene,2019
322,Electronic,Flying Lotus,Cosmogramma,2014
323,Electronic,Flying Lotus,You're Dead!,2014
83,Electronic,GRiZ (3),Chasing The Golden Hour Pt. 3 & Pt. 4,2023
230,Electronic,James Blake,Overgrown,2013
217,Electronic,James Blake,The Colour In Anything,2016
218,Electronic,James Blake,Assume Form,2019
216,Electronic,James Blake,Before,2020
231,Electronic,James Blake,Friends That Break Your Heart,2021
333,Electronic,Jamie xx,In Colour,2015
107,Electronic,Nick Murphy (5),Run Fast Sleep Naked,2019
122,Electronic,Portishead,Dummy,1994
121,Electronic,Portishead,Dummy,2000
332,Electronic,Sbtrkt,Wonder Where We Land,2014
135,Electronic,Ta-Ku,Songs To Break Up To,2020
280,Electronic,Tipper,Jettison Mind Hatch,2019
281,Electronic,Tipper,Jettison Mind Hatch,2019
116,Electronic,Tycho (3),Awake,2014
115,Electronic,Tycho (3),Dive,2016
117,Electronic,Tycho (3),Epoch,2017
194,Folk,Caamp,Live From Newport Music Hall,2020
258,Folk,Charley Crockett,The Man From Waco,2022
257,Folk,Charlie Parr,Last Of The Better Days Ahead,2021
226,Folk,John Denver,John Denver's Greatest Hits,1973
41,Folk,John Fullbright,The Liar,2022
263,Folk,Nathaniel Rateliff,And It's Still Alright,2020
223,Folk,Ray Lamontagne,Gossip In The Grain,2008
311,Funk,Chaka Khan,I Feel For You,1984
198,Funk,Commodores,Greatest Hits,1978
325,Funk,Funkadelic,Maggot Brain,1971
222,Funk,Galactic,Into The Deep,2015
79,Funk,Khruangbin,Mordechai,2020
80,Funk,Khruangbin,Mordechai,2020
75,Funk,Kool & The Gang,Emergency,1984
76,Funk,Kool & The Gang,Emergency,1984
162,Funk,Lettuce (3),Elevate,2019
125,Funk,Rick James,Reflections,1984
203,Funk,Ripe (7),Joy In The Wild Unknown,2018
255,Hip-Hop,50 Cent,Get Rich Or Die Tryin',2014
239,Hip-Hop,Aesop Rock,Spirit World Field Guide,2020
260,Hip-Hop,Amerigo Gazaway,Yasiin Gaye: The Departure,2014
